	AntonymCount	BigramCount	HypernymCount	HyponymCount	IDFUnigramCount	Label	LemmaCount	LevenshteinEditDistance	NegativeSimilarity	PositiveSimilarity	Question	QuestionID	QuestionType	Sentence	SentenceID	SynonymCount	TrigramCount	Type	UnigramCount
15	0	1	0	0	1.832581464	0	2	11	0.37223712	0.282441364	how much are the harry potter movies worth	Q17	NUM	harry potter is a series of seven fantasy novels written by the british author j k rowling 	D17-0	0	0	train	2
16	0	1	0	0	1.832581464	0	2	14	0.404362411	0.300590958	how much are the harry potter movies worth	Q17	NUM	the books chronicle the adventures of a wizard  harry potter  and his friends ronald weasley and hermione granger  all of whom are students at hogwarts school of witchcraft and wizardry 	D17-1	0	0	train	2
17	0	1	1	0	1.832581464	0	2	27	0.520564612	0.270994136	how much are the harry potter movies worth	Q17	NUM	the main story arc concerns harrys quest to overcome the dark wizard lord voldemort  whose aims are to become immortal conquer the wizarding world  subjugate nonmagical people and destroy all those who stand in his way especially harry potter	D17-2	0	0	train	2
18	0	1	0	0	1.832581464	0	2	18	0.338263633	0.318342079	how much are the harry potter movies worth	Q17	NUM	since the release of the first novel harry potter and the philosophers stone on 30 june 1997 the books have gained immense popularity critical acclaim and commercial success worldwide	D17-3	0	0	train	2
19	0	0	0	0	0	0	0	9	0.50032522	0.358681252	how much are the harry potter movies worth	Q17	NUM	the series has also had some share of criticism including concern for the increasingly dark tone	D17-4	0	0	train	0
20	0	0	0	0	0	0	0	14	0.440466602	0.400064766	how much are the harry potter movies worth	Q17	NUM	 the book series has sold about 450 million copies making it the bestselling book series in history  and has been translated into 67 languages 	D17-5	0	0	train	0
21	0	0	0	0	0	0	0	9	0.382619776	0.278518709	how much are the harry potter movies worth	Q17	NUM	the last four books consecutively set records as the fastestselling books in history	D17-6	0	0	train	0
22	0	0	0	0	0	0	0	16	0.352800437	0.254952612	how much are the harry potter movies worth	Q17	NUM	a series of many genres  including fantasy and coming of age with elements of mystery  thriller  adventure  and romance  it has many cultural meanings and references	D17-7	0	0	train	0
23	0	0	0	0	0	0	0	5	0.442882872	0.413485461	how much are the harry potter movies worth	Q17	NUM	according to rowling the main theme is death	D17-8	0	0	train	0
24	0	0	0	0	0	0	0	6	0.323321148	0.251482504	how much are the harry potter movies worth	Q17	NUM	there are also many other themes in the series such as prejudice and corruption	D17-9	0	0	train	0
25	0	0	0	0	0	0	0	11	0.2778017	0.266265096	how much are the harry potter movies worth	Q17	NUM	the initial major publishers of the books were bloomsbury in the united kingdom and scholastic press in the united states	D17-10	0	0	train	0
26	0	0	0	0	0	0	0	6	0.36997778	0.275627231	how much are the harry potter movies worth	Q17	NUM	the books have since been published by many publishers worldwide	D17-11	0	0	train	0
27	0	0	0	0	0	0	0	17	0.380222614	0.273613751	how much are the harry potter movies worth	Q17	NUM	the books with the seventh book split into two parts have been made into an eightpart film series by warner bros pictures  the highestgrossing film series of all time	D17-12	1	0	train	0
28	0	2	0	0	7.248681866	1	4	10	0.378082623	0.384995009	how much are the harry potter movies worth	Q17	NUM	the series also originated much tiein merchandise making the harry potter brand worth in excess of 15 billion	D17-13	0	1	train	4
29	0	1	0	0	1.832581464	0	2	17	0.431810158	0.306218763	how much are the harry potter movies worth	Q17	NUM	also due to the success of the books and films harry potter has been used for a theme park the wizarding world of harry potter in universal parks  resorts s islands of adventure 	D17-14	1	0	train	2
30	0	0	0	0	0	0	0	6	0.487824823	0.468322528	how a rocket engine works	Q18	DESC	rs68 being tested at nasas stennis space center	D18-0	0	0	train	0
31	0	0	0	0	0	0	1	13	0.517166618	0.575982397	how a rocket engine works	Q18	DESC	the nearly transparent exhaust is due to this engines exhaust being mostly superheated steam water vapor from its propellants hydrogen and oxygen	D18-1	0	0	train	0
32	0	1	0	0	1.673976434	0	2	3	0.341807909	0.34824656	how a rocket engine works	Q18	DESC	viking 5c rocket engine	D18-2	0	0	train	2
33	0	2	0	0	1.673976434	1	2	13	0.63278539	0.675068043	how a rocket engine works	Q18	DESC	a rocket engine or simply rocket is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet 	D18-3	0	1	train	2
34	0	0	0	0	0.287682072	0	2	8	0.518254054	0.408934914	how a rocket engine works	Q18	DESC	rocket engines are reaction engines and obtain thrust in accordance with newtons third law 	D18-4	0	0	train	1
35	0	0	0	2	0.287682072	0	2	13	0.658930524	0.690734244	how a rocket engine works	Q18	DESC	since they need no external material to form their jet rocket engines can be used for spacecraft propulsion as well as terrestrial uses such as missiles 	D18-5	1	0	train	1
36	0	0	0	1	0.287682072	0	2	8	0.31697356	0.176114368	how a rocket engine works	Q18	DESC	most rocket engines are internal combustion engines  although noncombusting forms also exist	D18-6	1	0	train	1
37	0	0	0	0	0.287682072	0	2	12	0.491637549	0.354577071	how a rocket engine works	Q18	DESC	rocket engines as a group have the highest exhaust velocities are by far the lightest but are the least propellant efficient of all types of jet engines	D18-7	0	0	train	1
38	0	0	0	0	1.504077397	0	1	7	0.452672821	0.511877592	how are cholera and typhus transmitted and prevented	Q21	DESC	cholera is an infection in the small intestine caused by the bacterium vibrio cholerae 	D21-0	0	0	train	1
39	0	0	0	0	0	0	0	5	0.392611658	0.256367935	how are cholera and typhus transmitted and prevented	Q21	DESC	the main symptoms are watery diarrhea and vomiting 	D21-1	0	0	train	0
40	0	0	0	0	0	1	0	17	0.464094728	0.44029379	how are cholera and typhus transmitted and prevented	Q21	DESC	transmission occurs primarily by drinking water or eating food that has been contaminated by the feces waste product of an infected person including one with no apparent symptoms	D21-2	0	0	train	0
41	0	0	0	0	0	0	0	10	0.570440472	0.515681792	how are cholera and typhus transmitted and prevented	Q21	DESC	the severity of the diarrhea and vomiting can lead to rapid dehydration and electrolyte imbalance and death in some cases	D21-3	0	0	train	0
42	0	0	0	0	0	0	0	12	0.591930617	0.599859356	how are cholera and typhus transmitted and prevented	Q21	DESC	the primary treatment is oral rehydration therapy  typically with oral rehydration solution  to replace water and electrolytes	D21-4	0	0	train	0
43	0	0	0	0	0	0	0	9	0.499528135	0.467132854	how are cholera and typhus transmitted and prevented	Q21	DESC	if this is not tolerated or does not provide improvement fast enough intravenous fluids can also be used	D21-5	0	0	train	0
44	0	0	0	0	0	0	0	8	0.534837556	0.547103988	how are cholera and typhus transmitted and prevented	Q21	DESC	antibacterial drugs are beneficial in those with severe disease to shorten its duration and severity	D21-6	0	0	train	0
45	0	0	0	0	0	0	0	9	0.248908462	0.145207826	how are cholera and typhus transmitted and prevented	Q21	DESC	worldwide it affects 3–5 million people and causes 100000–130000 deaths a year 	D21-7	0	0	train	0
46	0	0	0	0	1.504077397	0	1	6	0.406954767	0.413461576	how are cholera and typhus transmitted and prevented	Q21	DESC	cholera was one of the earliest infections to be studied by epidemiological methods	D21-8	0	0	train	1
47	0	0	0	0	2.525728644	0	2	12	0.343575232	0.297411998	how did anne frank die	Q26	DESC	annelies anne marie frank    12 june 1929early march 1945 is one of the most discussed jewish victims of the holocaust 	D26-0	-1	0	train	2
48	0	0	1	0	0	0	0	5	0.447832318	0.324575927	how did anne frank die	Q26	DESC	her diary has been the basis for several plays and films	D26-1	0	0	train	0
49	0	0	0	0	0	0	0	11	0.302068656	0.248719009	how did anne frank die	Q26	DESC	born in the city of frankfurt am main in weimar germany  she lived most of her life in or near amsterdam  in the netherlands	D26-2	0	0	train	0
50	0	0	0	0	0.916290732	0	1	6	0.329321099	0.278201315	how did anne frank die	Q26	DESC	born a german national frank lost her citizenship in 1941	D26-3	0	0	train	1
51	0	0	0	0	0	0	0	6	0.16421596	0.118549357	how did anne frank die	Q26	DESC	she gained international fame posthumously after her diary was published	D26-4	0	0	train	0
52	0	0	1	0	0	0	0	9	0.204941831	0.144678822	how did anne frank die	Q26	DESC	it documents her experiences hiding during the german occupation of the netherlands in world war ii 	D26-5	0	0	train	0
53	0	0	0	0	0.916290732	0	1	11	0.257144981	0.166205732	how did anne frank die	Q26	DESC	the frank family moved from germany to amsterdam in 1933 the year the nazis gained control over germany	D26-6	0	0	train	1
54	0	0	0	0	0	0	0	7	0.400132075	0.320956201	how did anne frank die	Q26	DESC	by the beginning of 1940 they were trapped in amsterdam by the nazi occupation of the netherlands	D26-7	0	0	train	0
55	0	0	0	0	0.916290732	0	2	15	0.367163693	0.264485431	how did anne frank die	Q26	DESC	as persecutions of the jewish population increased in july 1942 the family went into hiding in the hidden rooms of annes father otto frank s office building	D26-8	-1	0	train	1
56	0	0	0	0	0	0	0	7	0.283574794	0.258702091	how did anne frank die	Q26	DESC	after two years the group was betrayed and transported to concentration camps 	D26-9	0	0	train	0
57	0	1	0	0	2.525728644	1	2	11	0.322438758	0.259247229	how did anne frank die	Q26	DESC	anne frank and her sister margot  were eventually transferred to the bergenbelsen concentration camp  where they died of typhus in march 1945	D26-10	-1	0	train	2
58	0	0	0	0	0.916290732	0	2	14	0.3072638	0.212432369	how did anne frank die	Q26	DESC	otto frank the only survivor of the family returned to amsterdam after the war to find that annes diary had been saved and his efforts led to its publication in 1947	D26-11	-1	0	train	1
59	0	0	0	0	0	0	0	10	0.369531459	0.389567523	how did anne frank die	Q26	DESC	it was translated from its original dutch and first published in english in 1952 as the diary of a young girl 	D26-12	0	0	train	0
60	0	0	0	0	0	0	0	4	0.346841208	0.26785919	how did anne frank die	Q26	DESC	it has since been translated into many languages	D26-13	0	0	train	0
61	0	0	0	0	1.609437912	0	1	12	0.294820361	0.274732297	how did anne frank die	Q26	DESC	the diary which was given to anne on her 13th birthday chronicles her life from 12 june 1942 until 1 august 1944	D26-14	-1	0	train	1
62	0	0	0	0	0.559615788	0	2	4	0.403477751	0.403680851	how are aircraft radial engines built	Q28	DESC	radial engine timing and cam mechanism	D28-0	0	0	train	1
63	0	0	0	0	0	0	0	4	0.456723969	0.419007228	how are aircraft radial engines built	Q28	DESC	click for full resolution animation	D28-1	0	0	train	0
64	0	0	0	0	0.559615788	0	2	2	0.47660674	0.478871149	how are aircraft radial engines built	Q28	DESC	radial engine of a biplane	D28-2	0	0	train	1
65	0	0	0	0	0	0	0	11	0.400172695	0.333601108	how are aircraft radial engines built	Q28	DESC	master rod upright slaves and balances from a tworow fourteencylinder pratt  whitney twin wasp	D28-3	0	0	train	0
66	0	0	0	0	0.559615788	1	2	15	0.631831444	0.682287556	how are aircraft radial engines built	Q28	DESC	the radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel	D28-4	0	0	train	1
67	0	0	0	0	0	0	1	10	0.622469288	0.667512377	how are aircraft radial engines built	Q28	DESC	it resembles a stylized star when viewed from the front and is called a star engine  german sternmotor in some languages	D28-5	0	0	train	0
68	0	0	0	0	4.451436086	0	3	8	0.491456053	0.359552339	how are aircraft radial engines built	Q28	DESC	the radial configuration was very commonly used in aircraft engines before turbine engines became predominant	D28-6	0	0	train	3
69	0	0	0	0	0	1	0	10	0.333711039	0.242174797	how deep can be drill for deep underwater	Q30	NUM	deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet	D30-0	0	0	train	0
70	0	0	0	0	0	0	0	7	0.457412376	0.430473033	how deep can be drill for deep underwater	Q30	NUM	by this definition there are approximately 600 deepwater wells in the gulf of mexico	D30-1	0	0	train	0
71	0	0	0	0	0	0	0	10	0.449844893	0.412262138	how deep can be drill for deep underwater	Q30	NUM	it has been economically infeasible for many years but with rising oil prices more companies are investing in this area	D30-2	0	0	train	0
72	0	0	0	0	0	0	0	10	0.304840531	0.167587714	how deep can be drill for deep underwater	Q30	NUM	major companies working in this sector include diamond offshore  transocean  and baker hughes 	D30-3	0	0	train	0
73	0	0	0	0	0	0	0	11	0.259499414	0.155113042	how deep can be drill for deep underwater	Q30	NUM	there are basically two kinds of mobile deepwater drilling rigs semisubmersible drilling rigs and drillships 	D30-4	0	0	train	0
74	0	0	0	0	0	0	0	10	0.252592165	0.218119819	how deep can be drill for deep underwater	Q30	NUM	drilling can also be performed from a fixedposition installation such as a floating spar platform or tensionleg platform	D30-5	0	0	train	0
75	0	0	0	0	0	0	0	13	0.282229124	0.378822983	how deep can be drill for deep underwater	Q30	NUM	recent industry analysis has estimated that the total expenditure in the global deepwater infrastructure market will reach 145bn in 2011	D30-6	0	0	train	0
76	2	0	0	0	0	0	0	6	0.385391625	0.277275941	how deep can be drill for deep underwater	Q30	NUM	“not all oil is accessible on land or in shallow water	D30-7	0	0	train	0
77	0	0	2	0	5.278114659	0	2	17	0.406941668	0.307036442	how deep can be drill for deep underwater	Q30	NUM	you can find some oil deposits buried deep under the ocean floor” using sonic equipment oil companies determine the drilling sites most likely to produce oil	D30-8	0	0	train	2
78	0	0	0	0	0	0	0	9	0.463524606	0.274915525	how deep can be drill for deep underwater	Q30	NUM	then they use a mobile offshore drilling unit modu to dig the initial well	D30-9	0	0	train	0
79	0	0	0	0	0	0	0	11	0.350580611	0.243471454	how deep can be drill for deep underwater	Q30	NUM	some units are converted into production rigs meaning they switch from drilling for oil to capturing oil once its found	D30-10	0	0	train	0
80	0	0	2	0	2.233592222	0	1	18	0.278384609	0.243696677	how deep can be drill for deep underwater	Q30	NUM	most of the time the oil company will replace the modu with a more permanent oil production rig to capture oil” the modus job is to drill down into the oceans floor to find oil deposits	D30-11	0	0	train	1
81	0	0	0	0	2.233592222	0	1	6	0.249753534	0.184856459	how deep can be drill for deep underwater	Q30	NUM	the part of the drill that extends below the deck and through the water is called the riser	D30-12	0	0	train	1
82	0	0	0	0	0	0	0	7	0.680081073	0.517661518	how deep can be drill for deep underwater	Q30	NUM	the riser allows for drilling fluids to move between the floor and the rig	D30-13	0	0	train	0
83	0	0	0	0	2.233592222	0	1	10	0.326327513	0.242907904	how deep can be drill for deep underwater	Q30	NUM	engineers lower a drill string  a series of pipes designed to drill down to the oil deposit  through the riser”	D30-14	0	0	train	1
84	0	0	0	0	0	0	0	9	0.601351411	0.450718181	how deep can be drill for deep underwater	Q30	NUM	“the expansion of deepwater drilling is happening despite accidents in offshore fields”	D30-15	0	0	train	0
85	0	0	0	0	5.278114659	0	2	18	0.457148462	0.542270222	how deep can be drill for deep underwater	Q30	NUM	in 2010 a large explosion occurred killing 11 workers and spilling millions of gallons of oil into the gulf of mexico while a bp oil rig was drilling in deep waters	D30-16	0	0	train	2
86	0	0	0	0	0	0	0	15	0.417209713	0.328962709	how deep can be drill for deep underwater	Q30	NUM	“despite the risks the deepwater drilling trend is spreading in the mediterranean and off the coast of east africa after a string of huge discoveries of natural gas”	D30-17	0	0	train	0
87	0	0	0	0	0	0	0	11	0.460461895	0.391970954	how deep can be drill for deep underwater	Q30	NUM	“the reason for the resumption of such drilling analyst say is continuing high demand for energy worldwide”	D30-18	0	0	train	0
88	0	0	0	0	0	0	0	17	0.427905565	0.268074952	how deep can be drill for deep underwater	Q30	NUM	america needs the oil so it is almost necessary to face the high risks that come with deepwater drilling in order for americans to continue to carry on their everyday lives	D30-19	0	0	train	0
89	0	0	0	0	0	0	0	27	0.429497052	0.436655502	how deep can be drill for deep underwater	Q30	NUM	“the energy department recently projected that gulf oil production would expand from its 2011 level of 13 million barrels a day still nearly a quarter of total domestic production to 2 million barrels a day by 2020”	D30-20	0	0	train	0
90	0	0	0	0	0	0	0	7	0.309772779	0.215491032	how deep can be drill for deep underwater	Q30	NUM	deepwater drilling affects the environment in both negative and positive ways	D30-21	0	0	train	0
91	0	0	0	0	0	0	0	11	0.381375413	0.275234395	how deep can be drill for deep underwater	Q30	NUM	although deepwater drilling rarely causes oil spills it is still a hazardous possible outcome	D30-22	0	0	train	0
92	0	0	2	0	0	0	0	16	0.376315543	0.272919357	how deep can be drill for deep underwater	Q30	NUM	oil spills result in oil sinking to the bottom of the ocean smothering plant life leaving fish without food and shelter to survive	D30-23	0	0	train	0
93	0	0	0	0	0	0	0	7	0.292931308	0.218252955	how deep can be drill for deep underwater	Q30	NUM	on the other hand deepwater drilling effects the environment in a positive ways too	D30-24	0	0	train	0
94	0	0	0	0	0	0	0	18	0.549616658	0.468676331	how deep can be drill for deep underwater	Q30	NUM	in time once the deepwater oil well is not in use anymore plants will grow on and around the well making a cave or cavern like shelter ideal for animals to thrive in	D30-25	0	0	train	0
95	0	0	2	0	0	0	0	12	0.548025844	0.42213021	how deep can be drill for deep underwater	Q30	NUM	deepwater drilling also lets us see the depths of the ocean floor that are hardly ever seen	D30-26	0	0	train	0
96	0	0	1	0	0	0	0	19	0.612263902	0.64246318	how deep can be drill for deep underwater	Q30	NUM	”cameras on rovers at the bottom of the wells record footage and take photos of rare fish that are in there natural habitat giving scientist a look at animals they rarely seen”chevron corporation	D30-27	0	0	train	0
97	0	0	0	0	0.693147181	1	2	21	0.543195503	0.745598838	how old was monica lewinsky during the affair	Q31	NUM	monica samille lewinsky born july 23 1973 is an american woman with whom united states president bill clinton admitted to having had an improper relationship while she worked at the white house in 1995 and 1996	D31-0	-2	0	train	2
98	0	1	0	0	0.693147181	0	2	8	0.515237998	0.427413255	how old was monica lewinsky during the affair	Q31	NUM	the affair and its repercussions which included clintons impeachment  became known as the lewinsky scandal 	D31-1	-1	0	train	2
99	0	1	0	0	2.249340578	0	2	13	0.242915276	0.646794111	how long was frank sinatra famous	Q32	NUM	francis albert frank sinatra  december 12 1915 – may 14 1998 was an american singer and film actor	D32-0	-1	0	train	2
100	0	0	0	0	0.575364145	1	1	20	0.371062437	0.166667275	how long was frank sinatra famous	Q32	NUM	beginning his musical career in the swing era with harry james and tommy dorsey  sinatra found unprecedented success as a solo artist from the early to mid1940s after being signed to columbia records in 1943	D32-1	-1	0	train	1
101	0	1	0	0	2.249340578	0	2	8	0.499317974	0.315589938	how long was frank sinatra famous	Q32	NUM	being the idol of the  bobby soxers  he released his first album the voice of frank sinatra in 1946	D32-2	-1	0	train	2
102	0	0	0	0	0	0	0	14	0.413059321	0.230366398	how long was frank sinatra famous	Q32	NUM	his professional career had stalled by the 1950s but it was reborn in 1953 after he won the academy award for best supporting actor for his performance in from here to eternity 	D32-3	0	0	train	0
103	0	0	0	0	0	0	0	21	0.491122241	0.31058415	how long was frank sinatra famous	Q32	NUM	he signed with capitol records in 1953 and released several critically lauded albums such as in the wee small hours  songs for swingin lovers  come fly with me  only the lonely and nice n easy 	D32-4	0	0	train	0
104	0	0	0	0	0.575364145	0	1	33	0.505442001	0.306487874	how long was frank sinatra famous	Q32	NUM	sinatra left capitol to found his own record label reprise records in 1961 finding success with albums such as ringadingding  sinatra at the sands and francis albert sinatra  antonio carlos jobim  toured internationally was a founding member of the rat pack and fraternized with celebrities and statesmen including john f kennedy 	D32-5	-1	0	train	1
105	0	1	0	0	2.249340578	0	2	20	0.505281447	0.374089798	how long was frank sinatra famous	Q32	NUM	sinatra turned 50 in 1965 recorded the retrospective september of my years  starred in the emmy winning television special frank sinatra a man and his music  and scored hits with  strangers in the night  and  my way 	D32-6	-1	0	train	2
106	0	0	0	0	0.575364145	0	1	12	0.45422345	0.256690188	how long was frank sinatra famous	Q32	NUM	with sales of his music dwindling and after appearing in several poorly received films sinatra retired for the first time in 1971	D32-7	-1	0	train	1
107	0	0	0	0	0	0	0	20	0.535574522	0.343220354	how long was frank sinatra famous	Q32	NUM	two years later however he came out of retirement and in 1973 recorded several albums scoring a top 40 hit with  theme from new york new york  in 1980	D32-8	0	0	train	0
108	1	0	0	0	0	0	0	15	0.432905171	0.233905227	how long was frank sinatra famous	Q32	NUM	using his las vegas shows as a home base he toured both within the united states and internationally until a short time before his death in 1998	D32-9	0	0	train	0
109	0	0	0	0	0.575364145	0	1	8	0.430118317	0.257656934	how long was frank sinatra famous	Q32	NUM	sinatra also forged a highly successful career as a film actor	D32-10	-1	0	train	1
110	0	0	0	0	0	0	0	18	0.396615135	0.239113277	how long was frank sinatra famous	Q32	NUM	after winning best supporting actor in 1953 he also garnered a nomination for best actor for the man with the golden arm  and critical acclaim for his performance in the manchurian candidate 	D32-11	0	0	train	0
111	0	0	0	0	0	0	0	10	0.483352011	0.366325348	how long was frank sinatra famous	Q32	NUM	he also starred in such musicals as high society  pal joey  guys and dolls and on the town 	D32-12	0	0	train	0
112	0	0	0	0	0.575364145	0	1	17	0.365186283	0.330941376	how long was frank sinatra famous	Q32	NUM	sinatra was honored at the kennedy center honors in 1983 and was awarded the presidential medal of freedom by ronald reagan in 1985 and the congressional gold medal in 1997	D32-13	-1	0	train	1
113	0	0	0	0	0	0	0	15	0.345833926	0.27015705	how long was frank sinatra famous	Q32	NUM	he was the recipient of eleven grammy awards  including the grammy trustees award  grammy legend award and the grammy lifetime achievement award 	D32-14	0	0	train	0
114	0	0	0	0	0.575364145	0	1	12	0.278777459	0.376481063	how long was frank sinatra famous	Q32	NUM	sinatra is also one of world’s bestselling artists of all time  having sold more than 150 million copies worldwide	D32-15	-1	0	train	1
115	0	0	0	0	0.405465108	0	1	20	0.46491588	0.617003298	how much is jk rowling worth	Q42	NUM	joanne jo rowling  born 31 july 1965 pen name j k rowling is a british novelist best known as the author of the harry potter fantasy series	D42-0	-1	0	train	1
116	0	0	0	0	0	0	0	12	0.406728638	0.365080403	how much is jk rowling worth	Q42	NUM	the potter books have gained worldwide attention won multiple awards and sold more than 400 million copies	D42-1	0	0	train	0
117	0	0	0	0	0	0	0	13	0.412853418	0.283469704	how much is jk rowling worth	Q42	NUM	they have become the bestselling book series in history  and been the basis for a series of films which has become the highestgrossing film series in history 	D42-2	0	0	train	0
118	0	0	0	0	0.405465108	0	1	12	0.525138649	0.7511131	how much is jk rowling worth	Q42	NUM	rowling had overall approval on the scripts as well as maintaining creative control by serving as a producer on the final instalment	D42-3	-1	0	train	1
119	0	0	0	0	0.405465108	0	1	19	0.517621066	0.619802225	how much is jk rowling worth	Q42	NUM	born in yate  gloucestershire  rowling was working as a researcher and bilingual secretary for amnesty international when she conceived the idea for the harry potter series on a delayed train from manchester to london in 1990	D42-4	-1	0	train	1
120	0	0	0	0	0.405465108	0	1	19	0.493922925	0.356458183	how much is jk rowling worth	Q42	NUM	the sevenyear period that followed entailed the death of her mother divorce from her first husband and poverty until rowling finished the first novel in the series harry potter and the philosophers stone 1997	D42-5	-1	0	train	1
121	0	0	0	0	0.405465108	0	1	15	0.382867974	0.310312379	how much is jk rowling worth	Q42	NUM	rowling subsequently published 6 sequels—the last harry potter and the deathly hallows 2007—as well as 3 supplements to the series	D42-6	-1	0	train	1
122	0	0	0	0	0.405465108	0	1	15	0.539536936	0.524024619	how much is jk rowling worth	Q42	NUM	in 2012 rowling parted with her agency and resumed writing in the form of a tragicomedy novel aimed at adult readership entitled the casual vacancy 	D42-7	-1	0	train	1
123	0	0	0	0	0.405465108	0	1	17	0.420250811	0.281490543	how much is jk rowling worth	Q42	NUM	rowling has said she is currently working on two books—one aimed for adults the other for children younger than the harry potter audience and she expects the latter to be published first	D42-8	-1	0	train	1
124	0	0	0	0	0.405465108	0	1	15	0.631200278	0.38690585	how much is jk rowling worth	Q42	NUM	rowling has led a  rags to riches  life story in which she progressed from living on state benefits to multimillionaire status within five years	D42-9	-1	0	train	1
125	0	0	0	0	0	0	0	10	0.574736182	0.436144222	how much is jk rowling worth	Q42	NUM	she is the united kingdoms bestselling author since records began with sales in excess of £238m	D42-10	0	0	train	0
126	0	0	0	0	0	1	0	18	0.443442295	0.486677229	how much is jk rowling worth	Q42	NUM	the 2008 sunday times rich list estimated rowlings fortune at £560 million 798 million ranking her as the twelfth richest woman in the united kingdom	D42-11	0	0	train	0
127	0	0	0	0	0.405465108	0	1	20	0.545778005	0.470698538	how much is jk rowling worth	Q42	NUM	forbes ranked rowling as the fortyeighth most powerful celebrity of 2007 and time magazine named her as a runnerup for its 2007 person of the year  noting the social moral and political inspiration she has given her fans 	D42-12	-1	0	train	1
128	0	0	0	0	0.405465108	0	1	9	0.53394627	0.751618083	how much is jk rowling worth	Q42	NUM	in october 2010 rowling was named the most influential woman in britain by leading magazine editors	D42-13	-1	0	train	1
129	0	0	0	0	0	0	0	21	0.580502003	0.43576633	how much is jk rowling worth	Q42	NUM	she has become a notable philanthropist supporting such charities as comic relief  one parent families  multiple sclerosis society of great britain and lumos formerly the childrens high level group	D42-14	0	0	train	0
130	0	0	0	0	2.772588722	0	2	6	0.282490937	0.269379361	how big is auburndale florida	Q43	NUM	auburndale is a city in polk county florida  united states 	D43-0	-2	0	train	2
131	0	0	0	0	0	0	0	4	0.239618022	0.220350964	how big is auburndale florida	Q43	NUM	the population was 11032 at the 2000 census	D43-1	0	0	train	0
132	0	0	0	0	0	1	0	8	0.298495381	0.3913931	how big is auburndale florida	Q43	NUM	according to the us census estimates of 2005 the city had a population of 12381	D43-2	0	0	train	0
